requirement_id,type,actor,requirement,priority,verification,source,legal_basis,control_id,owner_module,implementation_artifact,release_gate,status,acceptance_evidence,design_surface,api_operations,database_entities,privacy_security_review,approval_owner,residual_risk
FR-SCR-02,Functional,Employer Reviewer; Employer Admin,Composite scores shall use the immutable configured weights for the candidate cohort and role.,Must,Calculation tests,BRD 16.3,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-02,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Calculation tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-SCR-03,Functional,Employer Reviewer; Employer Admin,"The platform shall maintain a confidence value separate from performance based on evidence completeness, reviewer agreement, completion, incidents, rubric applicability and unresolved evidence.",Must,Confidence-model tests,BRD 16.4,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-03,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Confidence-model tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-SCR-04,Functional,Employer Reviewer; Employer Admin,Candidate comparison views shall use only approved human-scored criteria and identical versioned deterministic rules for a comparable cohort.,Must,Fair comparison tests,BRD 16.5,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-04,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Fair comparison tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/campaigns/{campaignId}/comparison,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-SCR-05,Functional,Employer Reviewer; Employer Admin,"Comparison views shall show human-score weights, bands, evidence completeness, uncertainty, reviewer agreement and source access without presenting an AI-generated ordinal rank.",Must,UI acceptance tests,"BRD 16.5, BR-024","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-05,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for UI acceptance tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-SCR-06,Functional,Employer Reviewer; Employer Admin,"Protected characteristics, accommodation details and unresolved integrity signals shall be excluded from score aggregation and candidate comparison calculations.",Must,Data-lineage and calculation tests,BRD 16.5,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-06,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Data-lineage and calculation tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-SCR-07,Functional,Employer Reviewer; Employer Admin,"Authorised humans shall be able to correct human scores through a versioned amendment, reject AI observations, resolve integrity context and independently draft progression decisions.",Must,Override acceptance tests,BRD 16.6,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-07,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Override acceptance tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-SCR-08,Functional,Employer Reviewer; Employer Admin,"Every material override shall preserve original value, revised value, user, timestamp, reason, evidence and required secondary approval.",Must,Audit and workflow tests,BRD 16.6,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-08,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Audit and workflow tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-SCR-09,Functional,Employer Reviewer; Employer Admin,"The platform shall never automatically reject or progress a candidate and shall contain no AI candidate score, rank or progression recommendation.",Must,Decision-rule negative tests,"BRD 4.3, BR-025","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-09,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Decision-rule negative tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/applications/{applicationId}/decisions,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-SCR-10,Functional,Employer Reviewer; Employer Admin,Human-score comparison views shall be available only after all review and evidence-completeness prerequisites are satisfied.,Must,Workflow gate tests,BRD Rule 8,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-SCR-10,Scoring and Decision Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Workflow gate tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,review.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-01,Functional,Employer Admin; Employer Reviewer,"Candidate reports shall include candidate/assessment identifiers, versions, completion date, duration, reviewer status and report version.",Must,Report content tests,BRD 18.1,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-01,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Report content tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/submissions/{submissionId}/reports; POST /v2/submissions/{submissionId}/reports,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-02,Functional,Employer Admin; Employer Reviewer,"Reports shall provide an executive summary with performance band, strengths, areas for validation, evidence confidence, material incidents and human-review status.",Must,Report content tests,BRD 18.2,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-02,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Report content tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-03,Functional,Employer Admin; Employer Reviewer,"Each competency section shall show score, weight, evidence, reviewer comment, confidence, AI observation label and human approval status.",Must,Traceability test,"BRD 18.3, BR-026","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-03,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Traceability test,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-04,Functional,Employer Admin; Employer Reviewer,"AI collaboration reporting may cover decomposition, prompting, tool selection, validation, correction, unsupported reliance, efficiency and final human judgement.",Must,Rubric/report review,BRD 18.4,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-04,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Rubric/report review,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-05,Functional,Employer Admin; Employer Reviewer,"Reports shall not use unsupported labels about dishonesty, emotion, trustworthiness, personality or cultural suitability.",Must,Content-policy tests,BRD 18.4,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-05,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Content-policy tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-06,Functional,Employer Admin; Employer Reviewer,"Integrity sections shall show event counts, categories, resolution state, material concerns, human determination and candidate explanation where applicable.",Must,Report content tests,BRD 18.5,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-06,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Report content tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-07,Functional,Employer Admin; Employer Reviewer,"Reports shall generate targeted interview questions based on strengths, weaknesses, uncertainty, ownership, AI validation and trade-offs.",Must,Question-generation evaluation,"BRD 18.6, BR-027","EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-07,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Question-generation evaluation,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-08,Functional,Employer Admin; Employer Reviewer,"Every report shall state that it is one input, human review is required, scores have limitations and lawful job-relevant criteria must govern decisions.",Must,Decision-support notice test,BRD 18.7,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-08,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Decision-support notice test,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/submissions/{submissionId}/reports,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-09,Functional,Employer Admin; Employer Reviewer,"Employer dashboards shall show campaign, pipeline, completion, review, score, confidence, incident, decision, retention and subscription information without sensitive proxy filters.",Must,Dashboard acceptance tests,BRD 19,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-09,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Dashboard acceptance tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"review.reports, review.progression_decisions",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-REP-10,Functional,Employer Admin; Employer Reviewer,"Report export shall be permissioned, versioned and audited.",Should,Export security tests,BRD BR-042,"EU AI Act Arts 8-20, 26, 72-73, 86; Annex III 4(a); GDPR Arts 5, 22, 25, 35",CTRL-FR-REP-10,Reporting and Interview Support,API + service + DB + automated acceptance test,G4 High-risk AI quality and oversight,Specified; evidence not yet supplied,Automated/manual evidence for Export security tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"review.reports, review.progression_decisions",Risk-based review,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-01,Functional,Candidate; Employer Admin; Compliance,"The system shall maintain separate candidate, assessment response, AI interaction, reviewer, proctoring, security, audit, legal-hold and anonymised-research retention categories.",Must,Retention configuration review,BRD 24.8,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-01,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Retention configuration review,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-02,Functional,Candidate; Employer Admin; Compliance,"Data collection fields and monitoring signals shall record purpose, necessity, access, retention, risk and less-intrusive alternatives.",Must,Data inventory and DPIA review,BRD 24.5,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-02,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Data inventory and DPIA review,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-03,Functional,Candidate; Employer Admin; Compliance,Accommodation and special-category information shall be segregated and excluded from scoring and reviewer views unless operationally necessary.,Must,Access and data-lineage tests,"BRD 24.7, 25.2","GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-03,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Access and data-lineage tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-04,Functional,Candidate; Employer Admin; Compliance,"The platform shall support access, correction, deletion, restriction, objection, portability where applicable, human review, contestation and complaint workflows.",Must,Rights workflow tests,"BRD 24.9, BR-032","GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-04,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Rights workflow tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/candidate/data-rights/requests,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-05,Functional,Candidate; Employer Admin; Compliance,"The system shall support configurable retention within legally approved boundaries, deletion execution, backup expiry and legal holds.",Must,Lifecycle and deletion tests,"BRD 24.8, BR-031","GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-05,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Lifecycle and deletion tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-06,Functional,Candidate; Employer Admin; Compliance,"The platform shall support EU/EEA data residency, documented subprocessors, regional backups and transfer mechanisms where required.",Must,Architecture and contract review,BRD 24.10,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-06,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Architecture and contract review,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-07,Functional,Candidate; Employer Admin; Compliance,"Personal data shall be encrypted in transit and at rest and protected by least privilege, key rotation and secrets management.",Must,Security tests and configuration audit,BRD 26,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-07,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Security tests and configuration audit,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-08,Functional,Candidate; Employer Admin; Compliance,"The system shall maintain tamper-evident logs sufficient to reconstruct assessment, model, scoring, submission, review, override, human-score comparison, incident, report, export, privileged-access and deletion events.",Must,Audit reconstruction exercise,"BRD 23.6, BR-030","GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-08,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Audit reconstruction exercise,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-09,Functional,Candidate; Employer Admin; Compliance,Audit and decision evidence shall be accessible through authorised interfaces without direct engineering database access.,Must,Audit portal acceptance test,BRD 27.6,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-09,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Audit portal acceptance test,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-10,Functional,Candidate; Employer Admin; Compliance,"The platform shall prohibit cross-employer reputation scores, permanent employability scores, shadow profiles and sale of identifiable candidate analytics.",Must,Data-use policy and feature inventory review,BRD 29.3,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-10,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Data-use policy and feature inventory review,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-11,Functional,Candidate; Employer Admin; Compliance,"The platform shall provide employer DPIA, fundamental-rights assessment and compliance documentation support.",Must,Document-pack acceptance test,"BRD 23.7, BR-033, BR-034","GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-11,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Document-pack acceptance test,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-DAT-12,Functional,Candidate; Employer Admin; Compliance,"Material data, scoring, AI, proctoring, identity, retention or report changes shall enter formal change control.",Must,Release-gate audit,BRD 39.1,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-DAT-12,"Privacy, Retention and Data Rights",API + service + DB + automated acceptance test,"G3 Privacy, rights and proportionality",Specified; evidence not yet supplied,Automated/manual evidence for Release-gate audit,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-COM-01,Functional,Employer Admin; Candidate; Integrations,"The system shall support versioned templates for invitation, reminder, expiry, installation, pre-check, accommodation, confirmation, incident, reattempt, status and rights communications.",Must,Template and trigger tests,BRD 22,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-COM-01,Compliance and Governance,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Template and trigger tests,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/notification-templates; POST /v2/notification-templates,integration.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-COM-02,Functional,Employer Admin; Candidate; Integrations,Communications shall be tenant-branded only within approved templates and accessibility constraints.,Could,Branding and accessibility tests,BRD BR-045,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-COM-02,Compliance and Governance,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Branding and accessibility tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,integration.*,Risk-based review,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-COM-03,Functional,Employer Admin; Candidate; Integrations,The platform shall prevent confidential scores or integrity information from being sent to unauthorised recipients.,Must,Recipient and content-rule tests,BRD 22,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-COM-03,Compliance and Governance,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Recipient and content-rule tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,integration.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-COM-04,Functional,Employer Admin; Candidate; Integrations,"The platform should integrate with ATS, HRIS, identity, email, calendar, video interview, cloud storage, collaboration and BI systems through scoped credentials.",Should,Connector tests,BRD 28,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-COM-04,Compliance and Governance,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Connector tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,integration.*,Risk-based review,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-COM-05,Functional,Employer Admin; Candidate; Integrations,"Integrations shall support revocation, retry, idempotency, duplicate detection, sync logging and prevention of silent overwrite.",Must,Resilience and data-integrity tests,BRD 28.1,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-COM-05,Compliance and Governance,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Resilience and data-integrity tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,integration.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-COM-06,Functional,Employer Admin; Candidate; Integrations,Integration configuration and credentials shall be tenant-specific and access-restricted.,Must,Isolation and secret-management tests,BRD 28.1,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-COM-06,Compliance and Governance,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Isolation and secret-management tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,integration.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-COM-07,Functional,Employer Admin; Candidate; Integrations,"The platform should provide versioned APIs and webhooks or polling mechanisms for approved candidate, campaign, status and report-reference operations.",Should,API contract and version tests,"BRD 27.5, 28","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-COM-07,Compliance and Governance,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for API contract and version tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,integration.*,Risk-based review,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-COM-08,Functional,Employer Admin; Candidate; Integrations,The system shall document controller and processor responsibilities for each integration data flow.,Must,Data-flow and contract review,BRD 28.1,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-COM-08,Compliance and Governance,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Data-flow and contract review,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,integration.*,Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-OPS-01,Functional,CPF Super Admin; Support; Security,"The Super Admin dashboard shall show employer, subscription, usage, active session, support, system, security, model, plugin, assessment, fairness, retention and corrective-action status.",Must,Dashboard acceptance test,BRD 20,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-OPS-01,Platform Operations and Integrations,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Dashboard acceptance test,Role journey + normal/loading/empty/error/denied/expired/success states,GET /v2/admin/tenants,"governance.*, audit.*, tenant.feature_flags",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-OPS-02,Functional,CPF Super Admin; Support; Security,"Authorised Super Admins shall be able to suspend an assessment, model, plugin, proctoring rule, integration, tenant or candidate session.",Must,Suspension workflow tests,"BRD 20, BR-036","Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-OPS-02,Platform Operations and Integrations,API + service + DB + automated acceptance test,G8 Operational readiness,Specified; evidence not yet supplied,Automated/manual evidence for Suspension workflow tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"governance.*, audit.*, tenant.feature_flags",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
