schema,table,table_purpose,column,data_type,nullable,default,primary_key,foreign_key,unique,column_purpose,data_classification,special_category,tenant_scope,access_roles,lawful_basis_note,retention_rule,mutability,encryption,audit_event
evidence,evidence_objects,Stable evidence references used by reviewers,source_id,uuid,No,,No,,No,Source reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,evidence_objects,Stable evidence references used by reviewers,object_uri,text,Yes,,No,,No,Object uri,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,evidence_objects,Stable evidence references used by reviewers,sha256,text,Yes,,No,,No,Sha256,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,evidence_objects,Stable evidence references used by reviewers,metadata,jsonb,No,'{}'::jsonb,No,,No,Metadata,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,evidence_objects,Stable evidence references used by reviewers,created_at,timestamptz,No,now(),No,,No,Immutable record creation time in UTC,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,tenant_id,uuid,No,,No,tenant.organizations(id),No,Employer tenant isolation key,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,attempt_id,uuid,No,,No,runtime.attempts(id),No,Assessment attempt reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,event_type,text,No,,No,,No,Event type,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,detection_source,text,No,,No,,No,Detection source,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,occurred_at,timestamptz,No,,No,,No,Event occurrence time in UTC,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,confidence,"numeric(5,4)",Yes,,No,,No,Confidence,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,technical_evidence,jsonb,No,,No,,No,Technical evidence,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,alternative_explanations,jsonb,No,'[]'::jsonb,No,,No,Alternative explanations,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,system_limitations,jsonb,No,'[]'::jsonb,No,,No,System limitations,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,candidate_context,text,Yes,,No,,No,Candidate context,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,status,text,No,'unreviewed',No,,No,Controlled lifecycle state,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,integrity_events,Objective integrity event evidence; no cheating verdict,created_at,timestamptz,No,now(),No,,No,Immutable record creation time in UTC,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,tenant_id,uuid,No,,No,tenant.organizations(id),No,Employer tenant isolation key,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,attempt_id,uuid,No,,No,runtime.attempts(id),No,Assessment attempt reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,plugin_id,uuid,No,,No,assessment.plugin_registry(id),No,Plugin reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,assessment_item_id,uuid,Yes,,No,assessment.assessment_items(id),No,Assessment item reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,action,text,No,,No,,No,Action,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,input_json,jsonb,No,,No,,No,Input json,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,output_json,jsonb,Yes,,No,,No,Output json,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,status,text,No,,No,,No,Controlled lifecycle state,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,started_at,timestamptz,No,,No,,No,Started timestamp,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,completed_at,timestamptz,Yes,,No,,No,Completed timestamp,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,plugin_executions,Professional plugin action audit,failure_incident_id,uuid,Yes,,No,,No,Failure incident reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",tenant_id,uuid,No,,No,tenant.organizations(id),No,Employer tenant isolation key,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",submission_id,uuid,No,,No,runtime.submissions(id),No,Immutable submitted-attempt reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",criterion_id,uuid,Yes,,No,assessment.rubric_criteria(id),No,Criterion reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",model_id,uuid,No,,No,assessment.model_registry(id),No,Model reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",prompt_version_id,uuid,No,,No,assessment.prompt_versions(id),No,Prompt version reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",observation_text,text,No,,No,,No,Observation text,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",evidence_links,jsonb,No,,No,,No,Versioned links to supporting evidence objects,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",limitations,jsonb,No,'[]'::jsonb,No,,No,Limitations,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",output_schema_version,text,No,,No,,No,Output schema version,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",status,text,No,,No,,No,Controlled lifecycle state,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,reviewer_ai_observations,"Labelled AI evidence observations without scores, ranks or decisions",generated_at,timestamptz,No,now(),No,,No,Generated timestamp,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,tenant_id,uuid,No,,No,tenant.organizations(id),No,Employer tenant isolation key,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,attempt_id,uuid,No,,No,runtime.attempts(id),No,Assessment attempt reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,incident_type,text,No,,No,,No,Incident type,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,source,text,No,,No,,No,Source,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,severity,text,No,,No,,No,Severity,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,description,text,No,,No,,No,Description,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,telemetry,jsonb,No,'{}'::jsonb,No,,No,Telemetry,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,status,text,No,,No,,No,Controlled lifecycle state,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,occurred_at,timestamptz,No,,No,,No,Event occurrence time in UTC,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,resolved_at,timestamptz,Yes,,No,,No,Resolved timestamp,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,remedy,text,Yes,,No,,No,Remedy,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,technical_incidents,Candidate or system failure evidence and remedy,created_at,timestamptz,No,now(),No,,No,Immutable record creation time in UTC,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,tenant_id,uuid,No,,No,tenant.organizations(id),No,Employer tenant isolation key,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,conversation_id,uuid,Yes,,No,evidence.ai_conversations(id),No,Conversation reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,attempt_id,uuid,No,,No,runtime.attempts(id),No,Assessment attempt reference,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,tool_name,text,No,,No,,No,Tool name,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,request_json,jsonb,No,,No,,No,Request json,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,response_json,jsonb,Yes,,No,,No,Response json,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,status,text,No,,No,,No,Controlled lifecycle state,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,started_at,timestamptz,Yes,,No,,No,Started timestamp,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,completed_at,timestamptz,Yes,,No,,No,Completed timestamp,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
evidence,tool_calls,AI tool invocation audit,error_code,text,Yes,,No,,No,Error code,Restricted assessment evidence,No,Direct tenant_id,Candidate where applicable; assigned reviewer; authorised support/compliance,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Assessment evidence schedule; legal hold aware,Append-only / immutable,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
governance,ai_literacy_records,Role-based AI literacy training and competence evidence,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Confidential accountability record,No,Direct tenant_id,Compliance; DPO; security; authorised auditor,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Statutory/contractual accountability schedule,Mutable through audited service command,Encrypted and integrity protected,Required for create/update/delete/read-export where material
governance,ai_literacy_records,Role-based AI literacy training and competence evidence,tenant_id,uuid,Yes,,No,tenant.organizations(id),Composite/Yes,Employer tenant isolation key,Confidential accountability record,No,Direct tenant_id,Compliance; DPO; security; authorised auditor,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Statutory/contractual accountability schedule,Mutable through audited service command,Encrypted and integrity protected,Required for create/update/delete/read-export where material
governance,ai_literacy_records,Role-based AI literacy training and competence evidence,user_id,uuid,No,,No,iam.users(id),Composite/Yes,Related human or service user,Confidential accountability record,No,Direct tenant_id,Compliance; DPO; security; authorised auditor,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Statutory/contractual accountability schedule,Mutable through audited service command,Encrypted and integrity protected,Required for create/update/delete/read-export where material
governance,ai_literacy_records,Role-based AI literacy training and competence evidence,role_context,text,No,,No,,No,Role context,Confidential accountability record,No,Direct tenant_id,Compliance; DPO; security; authorised auditor,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Statutory/contractual accountability schedule,Mutable through audited service command,Encrypted and integrity protected,Required for create/update/delete/read-export where material
governance,ai_literacy_records,Role-based AI literacy training and competence evidence,training_code,text,No,,No,,Composite/Yes,Training code,Confidential accountability record,No,Direct tenant_id,Compliance; DPO; security; authorised auditor,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Statutory/contractual accountability schedule,Mutable through audited service command,Encrypted and integrity protected,Required for create/update/delete/read-export where material
